"counts","number of items in equivalence class","isoforms in equivalence class"
29,0,NA
27,1,"ENST00000000442"
89,2,"ENST00000000442,ENST00000405666"
45,5,"ENST00000000442,ENST00000405666,ENST00000406310,ENST00000468670,ENST00000677967"
17,6,"ENST00000000442,ENST00000405666,ENST00000406310,ENST00000539594,ENST00000545035,ENST00000677967"
53,5,"ENST00000000442,ENST00000405666,ENST00000406310,ENST00000539594,ENST00000677967"
1,5,"ENST00000000442,ENST00000405666,ENST00000406310,ENST00000544844,ENST00000677967"
67,5,"ENST00000000442,ENST00000405666,ENST00000406310,ENST00000545035,ENST00000677967"
423,4,"ENST00000000442,ENST00000405666,ENST00000406310,ENST00000677967"
19,3,"ENST00000000442,ENST00000405666,ENST00000539594"
1,3,"ENST00000000442,ENST00000405666,ENST00000677967"
6,4,"ENST00000000442,ENST00000406310,ENST00000539594,ENST00000677967"
16,3,"ENST00000000442,ENST00000406310,ENST00000677967"
1,3,"ENST00000000442,ENST00000545035,ENST00000677967"
26,2,"ENST00000000442,ENST00000677967"
126,1,"ENST00000003302"
2,2,"ENST00000003302,ENST00000535607"
1,10,"ENST00000003302,ENST00000535607,ENST00000537490,ENST00000537642,ENST00000537706,ENST00000538475,ENST00000540438,ENST00000544967,ENST00000545540,ENST00000545608"
7,9,"ENST00000003302,ENST00000535607,ENST00000537490,ENST00000537642,ENST00000537706,ENST00000538475,ENST00000540438,ENST00000545540,ENST00000545608"
17,9,"ENST00000003302,ENST00000535607,ENST00000537490,ENST00000537706,ENST00000538475,ENST00000540438,ENST00000544967,ENST00000545540,ENST00000545608"
6,8,"ENST00000003302,ENST00000535607,ENST00000537706,ENST00000538475,ENST00000540438,ENST00000544967,ENST00000545540,ENST00000545608"
20,5,"ENST00000003302,ENST00000535607,ENST00000537706,ENST00000544967,ENST00000545540"
4,6,"ENST00000003302,ENST00000537642,ENST00000537706,ENST00000538475,ENST00000540438,ENST00000545540"
4,5,"ENST00000003302,ENST00000537642,ENST00000537706,ENST00000538475,ENST00000545540"
9,5,"ENST00000003302,ENST00000537642,ENST00000537706,ENST00000540438,ENST00000545540"
1,6,"ENST00000003302,ENST00000537642,ENST00000537706,ENST00000540438,ENST00000545540,ENST00000545608"
4,4,"ENST00000003302,ENST00000537642,ENST00000537706,ENST00000545540"
14,5,"ENST00000003302,ENST00000537706,ENST00000538475,ENST00000544967,ENST00000545540"
4,6,"ENST00000003302,ENST00000537706,ENST00000538475,ENST00000544967,ENST00000545540,ENST00000545608"
9,3,"ENST00000003302,ENST00000537706,ENST00000540438"
4,4,"ENST00000003302,ENST00000537706,ENST00000540438,ENST00000540925"
4,4,"ENST00000003302,ENST00000537706,ENST00000540438,ENST00000545540"
11,4,"ENST00000003302,ENST00000537706,ENST00000544967,ENST00000545540"
9,2,"ENST00000003302,ENST00000538224"
23,5,"ENST00000003302,ENST00000538224,ENST00000540438,ENST00000544967,ENST00000545540"
7,5,"ENST00000003302,ENST00000538475,ENST00000540438,ENST00000544967,ENST00000545540"
20,4,"ENST00000003302,ENST00000538475,ENST00000544967,ENST00000545540"
2,2,"ENST00000003302,ENST00000540438"
133,4,"ENST00000003302,ENST00000540438,ENST00000544967,ENST00000545540"
2,3,"ENST00000003302,ENST00000540438,ENST00000545540"
74,2,"ENST00000003302,ENST00000544967"
41,3,"ENST00000003302,ENST00000544967,ENST00000545540"
25,1,"ENST00000005082"
